"driverId","raceId","año","circuitId","fecha","hora","pos_en_carrera","acumulado_victorias","fecha_nac","referencia","nacionalidad","tiempo_total","tiempo_medio","num_vuelta_rapida","tiempo_mas_rapido","tiempo_medio_box","tiempo_total_box","num_veces_box","q1","q2","q3","puntos_carrera","vel_vuelta_rapida","edad","q1_ms","q2_ms","q3_ms"
1,1107,2023,70,2023-07-02,13,4,0,1985-01-07,"hamilton","British",5172803,72856.3802816901,48,69160,22044,66132,3,"1:05.673","1:05.188","1:04.819",4,224.366,38,65673,65188,64819
1,1108,2023,9,2023-07-09,14,4,0,1985-01-07,"hamilton","British",5123721,98533.0961538462,43,90545,29169,29169,1,"1:29.415","1:28.545","1:27.211",15,234.221,38,89415,88545,87211
1,1109,2023,11,2023-07-23,13,4,0,1985-01-07,"hamilton","British",5927768,84682.4,54,81601,21851,43702,2,"1:18.577","1:17.427","1:16.609",12,193.277,38,78577,77427,76609
1,1110,2023,13,2023-07-30,13,4,0,1985-01-07,"hamilton","British",5000121,113639.113636364,44,107305,23089.6666666667,69269,3,"1:58.563","1:52.345","1:47.087",13,234.978,38,118563,112345,107087
1,841,2011,1,2011-03-27,6,2,0,1985-01-07,"hamilton","British",5392556,92975.1034482759,41,90314,23213,46426,2,"1:25.384","1:24.595","1:24.307",18,211.382,26,85384,84595,84307
1,842,2011,2,2011-04-10,8,3,0,1985-01-07,"hamilton","British",5909789,105531.946428571,54,101512,23252.75,93011,4,"1:36.861","1:35.852","1:34.974",4,196.575,26,96861,95852,94974
1,843,2011,17,2011-04-17,7,2,1,1985-01-07,"hamilton","British",5818226,103896.892857143,48,100415,20659.3333333333,61978,3,"1:36.091","1:34.486","1:34.463",25,195.424,26,96091,94486,94463
1,844,2011,5,2011-05-08,12,2,1,1985-01-07,"hamilton","British",5457790,94099.8275862069,48,90108,24909.25,99637,4,"1:27.091","1:26.066","1:25.595",12,213.264,26,87091,86066,85595
1,845,2011,4,2011-05-22,12,2,1,1985-01-07,"hamilton","British",5943931,90059.5606060606,52,86727,20364.25,81457,4,"1:24.370","1:22.148","1:21.961",18,193.227,26,84370,82148,81961
1,846,2011,6,2011-05-29,12,2,1,1985-01-07,"hamilton","British",7805583,100071.576923077,54,77847,25923,77769,3,"1:15.207","1:14.275","1:15.280",8,154.456,26,75207,74275,75280
